Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A Spectral Count	B Spectral Count	C Spectral Count	D Spectral Count	E Spectral Count	A Unique Spectral Count	B Unique Spectral Count	C Unique Spectral Count	D Unique Spectral Count	E Unique Spectral Count	A Total Spectral Count	B Total Spectral Count	C Total Spectral Count	D Total Spectral Count	E Total Spectral Count	A Intensity	B Intensity	C Intensity	D Intensity	E Intensity	Indistinguishable Proteins
sp|P52732|KIF11_HUMAN	P52732	KIF11_HUMAN	KIF11	1056	Homo sapiens	1:Experimental evidence at protein level	Kinesin-like protein KIF11	1.0	0.999	32	151	151	151	32	32	26	30	31	32	32	26	30	31	32	32	26	30	31	3.5876065E9	3.5138214E9	1.6313548E9	2.317508E9	3.431779E9	
sp|P52735|VAV2_HUMAN	P52735	VAV2_HUMAN	VAV2	878	Homo sapiens	1:Experimental evidence at protein level	Guanine nucleotide exchange factor VAV2	1.0	0.999	18	123	114	123	22	16	24	29	32	21	14	22	27	30	22	16	24	29	32	4.2946437E9	3.3327122E9	3.5638825E9	6.5920773E9	6.856967E9	
sp|P52736|ZN133_HUMAN	P52736	ZN133_HUMAN	ZNF133	654	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 133	0.4056	0.9428	2	5	5	5	1	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1.16514424E8	731435.25	60266.344	0.0	1619487.0	
sp|P52737|ZN136_HUMAN	P52737	ZN136_HUMAN	ZNF136	540	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 136	0.9994	0.999	2	4	4	4	1	0	0	2	1	1	0	0	2	1	1	0	0	2	1	6.4480164E7	0.0	0.0	1.0672882E8	6.773874E7	
sp|P52738|ZN140_HUMAN	P52738	ZN140_HUMAN	ZNF140	457	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 140	0.9666	0.9986	2	5	5	5	0	0	0	2	3	0	0	0	2	3	0	0	0	2	3	0.0	0.0	0.0	8.203079E7	6.792592E7	
sp|P52739|ZN131_HUMAN	P52739	ZN131_HUMAN	ZNF131	623	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 131	1.0	0.999	12	35	35	35	5	5	8	8	9	5	5	8	8	9	5	5	8	8	9	3.8936035E8	3.074723E8	1.9324598E8	4.052967E8	4.6915725E8	
sp|P52741|ZN134_HUMAN	P52741	ZN134_HUMAN	ZNF134	427	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 134	0.9764	0.999	1	4	4	4	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	7.522538E7	4.7914148E7	437684.9	6.2820544E7	0.0	
sp|P52746|ZN142_HUMAN	P52746	ZN142_HUMAN	ZNF142	1687	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 142	0.9994	0.999	2	3	3	3	1	0	0	0	2	1	0	0	0	2	1	0	0	0	2	1.925769E7	0.0	0.0	0.0	1.1856326E7	
sp|P52747|ZN143_HUMAN	P52747	ZN143_HUMAN	ZNF143	638	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 143	1.0	0.999	6	53	53	53	11	8	11	11	12	11	8	11	11	12	11	8	11	11	12	8.3636525E8	5.7361946E8	4.6020458E8	1.0914036E9	1.0714809E9	
sp|P52756|RBM5_HUMAN	P52756	RBM5_HUMAN	RBM5	815	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein 5	1.0	0.999	20	118	118	134	26	14	26	24	28	26	14	26	24	28	30	17	28	28	31	3.1470326E9	1.1677978E9	2.1338666E9	2.3904113E9	3.131056E9	
sp|P52757|CHIO_HUMAN	P52757	CHIO_HUMAN	CHN2	468	Homo sapiens	1:Experimental evidence at protein level	Beta-chimaerin	1.0	0.999	4	22	22	22	3	3	5	6	5	3	3	5	6	5	3	3	5	6	5	2.1713038E8	1.8308813E8	1.9794629E8	9.7516544E8	2.1605872E8	
sp|P52758|RIDA_HUMAN	P52758	RIDA_HUMAN	RIDA	137	Homo sapiens	1:Experimental evidence at protein level	2-iminobutanoate/2-iminopropanoate deaminase	1.0	0.999	4	33	33	33	6	3	5	10	9	6	3	5	10	9	6	3	5	10	9	1.6370547E9	7.486684E8	1.261667E9	2.0927528E9	1.607477E9	
sp|P52788|SPSY_HUMAN	P52788	SPSY_HUMAN	SMS	366	Homo sapiens	1:Experimental evidence at protein level	Spermine synthase	1.0	0.999	18	213	213	213	34	27	48	51	53	34	27	48	51	53	34	27	48	51	53	1.544511E10	7.0246257E9	9.952767E9	2.9761004E10	2.4536127E10	
sp|P52789|HXK2_HUMAN	P52789	HXK2_HUMAN	HK2	917	Homo sapiens	1:Experimental evidence at protein level	Hexokinase-2	1.0	0.999	23	224	213	224	42	42	51	47	42	39	40	49	44	41	42	42	51	47	42	1.3292079E10	9.393866E9	7.426083E9	8.842026E9	7.7152543E9	
sp|P52790|HXK3_HUMAN	P52790	HXK3_HUMAN	HK3	923	Homo sapiens	1:Experimental evidence at protein level	Hexokinase-3	1.0	0.999	11	72	72	83	15	15	19	12	11	15	15	19	12	11	18	17	21	15	12	2.7826202E9	2.7005624E9	2.3882796E9	1.913988E9	1.1378872E9	
sp|P52797|EFNA3_HUMAN	P52797	EFNA3_HUMAN	EFNA3	238	Homo sapiens	1:Experimental evidence at protein level	Ephrin-A3	0.9763	0.999	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.0	0.0	0.0	0.0	6.4478784E7	
sp|P52799|EFNB2_HUMAN	P52799	EFNB2_HUMAN	EFNB2	333	Homo sapiens	1:Experimental evidence at protein level	Ephrin-B2	1.0	0.999	4	18	18	18	5	2	5	2	4	5	2	5	2	4	5	2	5	2	4	2.5997114E8	8.85766E7	1.7830405E8	3.95084E8	1.1247892E9	
sp|P52803|EFNA5_HUMAN	P52803	EFNA5_HUMAN	EFNA5	228	Homo sapiens	1:Experimental evidence at protein level	Ephrin-A5	1.0	0.999	5	23	23	23	5	3	6	4	5	5	3	6	4	5	5	3	6	4	5	5.740657E8	1.08880664E8	3.01088E8	1.03917304E8	3.0103693E8	
sp|P52815|RM12_HUMAN	P52815	RM12_HUMAN	MRPL12	198	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein bL12m	1.0	0.999	6	60	60	60	13	14	10	13	10	13	14	10	13	10	13	14	10	13	10	6.522222E9	6.246659E9	4.2266752E9	7.027086E9	1.2307965E10	
sp|P52823|STC1_HUMAN	P52823	STC1_HUMAN	STC1	247	Homo sapiens	1:Experimental evidence at protein level	Stanniocalcin-1	1.0	0.999	3	12	12	12	2	1	3	4	2	2	1	3	4	2	2	1	3	4	2	3.9909864E7	1.478609E8	1.6991568E8	7.1745536E8	1.0498455E8	
sp|P52824|DGKQ_HUMAN	P52824	DGKQ_HUMAN	DGKQ	942	Homo sapiens	1:Experimental evidence at protein level	Diacylglycerol kinase theta	1.0	0.999	14	68	68	68	14	10	12	17	15	14	10	12	17	15	14	10	12	17	15	7.0468595E8	3.9988733E8	5.8888614E8	7.596763E8	6.2087226E8	
sp|P52848|NDST1_HUMAN	P52848	NDST1_HUMAN	NDST1	882	Homo sapiens	1:Experimental evidence at protein level	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1	1.0	0.999	9	44	44	44	8	4	11	9	12	8	4	11	9	12	8	4	11	9	12	7.7323923E8	4.33291E8	9.2726624E8	7.7025344E8	1.2325993E9	
sp|P52849|NDST2_HUMAN	P52849	NDST2_HUMAN	NDST2	883	Homo sapiens	1:Experimental evidence at protein level	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2	1.0	0.999	7	23	23	23	5	2	7	6	3	5	2	7	6	3	5	2	7	6	3	2.0359866E8	1.0250077E8	3.9848042E8	2.2598566E8	2.4010998E8	
sp|P52888|THOP1_HUMAN	P52888	THOP1_HUMAN	THOP1	689	Homo sapiens	1:Experimental evidence at protein level	Thimet oligopeptidase	1.0	0.999	19	172	172	172	36	28	36	41	31	36	28	36	41	31	36	28	36	41	31	8.14584E9	8.633587E9	1.0888169E10	8.1998945E9	1.4884111E10	
sp|P52895|AK1C2_HUMAN	P52895	AK1C2_HUMAN	AKR1C2	323	Homo sapiens	1:Experimental evidence at protein level	Aldo-keto reductase family 1 member C2	0.9938	0.9988	7	4	4	39	0	1	1	1	1	0	1	1	1	1	5	8	11	8	7	0.0	1.1611777E7	6.978248E7	1387649.8	3891081.5	
sp|P52907|CAZA1_HUMAN	P52907	CAZA1_HUMAN	CAPZA1	286	Homo sapiens	1:Experimental evidence at protein level	F-actin-capping protein subunit alpha-1	1.0	0.999	16	531	527	531	91	62	108	151	119	91	62	108	148	118	91	62	108	151	119	5.7729E10	4.372065E10	6.3168995E10	5.7803416E10	6.495718E10	
sp|P52926|HMGA2_HUMAN	P52926	HMGA2_HUMAN	HMGA2	109	Homo sapiens	1:Experimental evidence at protein level	High mobility group protein HMGI-C	0.9996	0.999	3	9	9	9	1	1	2	3	2	1	1	2	3	2	1	1	2	3	2	1.3364425E7	1.4148563E7	6.8910696E7	1.1735994E7	2.0471224E7	
sp|P52943|CRIP2_HUMAN	P52943	CRIP2_HUMAN	CRIP2	208	Homo sapiens	1:Experimental evidence at protein level	Cysteine-rich protein 2	1.0	0.999	4	146	146	146	24	18	39	30	35	24	18	39	30	35	24	18	39	30	35	3.6636E10	1.2749497E10	4.8308974E10	2.2862983E10	7.782816E10	
sp|P52948|NUP98_HUMAN	P52948	NUP98_HUMAN	NUP98	1817	Homo sapiens	1:Experimental evidence at protein level	Nuclear pore complex protein Nup98-Nup96	1.0	0.999	36	442	442	442	99	68	85	93	97	99	68	85	93	97	99	68	85	93	97	2.2388494E10	1.6583625E10	1.734937E10	2.1702033E10	3.0989072E10	
sp|P53004|BIEA_HUMAN	P53004	BIEA_HUMAN	BLVRA	296	Homo sapiens	1:Experimental evidence at protein level	Biliverdin reductase A	1.0	0.999	12	88	88	88	16	14	17	23	18	16	14	17	23	18	16	14	17	23	18	9.594283E9	5.8912435E9	1.5273305E10	1.9024493E10	1.2766762E10	
sp|P53007|TXTP_HUMAN	P53007	TXTP_HUMAN	SLC25A1	311	Homo sapiens	1:Experimental evidence at protein level	Tricarboxylate transport protein, mitochondrial	1.0	0.999	4	41	41	41	8	8	11	9	5	8	8	11	9	5	8	8	11	9	5	1.5567954E8	1.1623456E8	6.009318E8	2.4264293E8	1.3623654E8	
sp|P53041|PPP5_HUMAN	P53041	PPP5_HUMAN	PPP5C	499	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 5	1.0	0.999	19	199	199	199	22	22	51	59	45	22	22	51	59	45	22	22	51	59	45	9.383755E9	7.8070313E9	1.2664167E10	1.6873955E10	1.6561789E10	
sp|P53350|PLK1_HUMAN	P53350	PLK1_HUMAN	PLK1	603	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase PLK1	1.0	0.999	13	54	54	54	10	7	13	11	13	10	7	13	11	13	10	7	13	11	13	1.0148867E9	5.215362E8	2.7102426E8	4.8022486E8	5.634817E8	
sp|P53355|DAPK1_HUMAN	P53355	DAPK1_HUMAN	DAPK1	1430	Homo sapiens	1:Experimental evidence at protein level	Death-associated protein kinase 1	1.0	0.999	18	58	58	58	13	8	10	13	14	13	8	10	13	14	13	8	10	13	14	9.1092134E8	1.5048416E9	7.2939994E8	2.2265695E9	1.2889656E9	
sp|P53365|ARFP2_HUMAN	P53365	ARFP2_HUMAN	ARFIP2	341	Homo sapiens	1:Experimental evidence at protein level	Arfaptin-2	1.0	0.999	6	62	62	98	17	11	13	13	8	17	11	13	13	8	26	17	20	22	13	5.6315244E9	4.7329505E9	6.6558024E9	6.5699615E9	4.4929265E9	
sp|P53367|ARFP1_HUMAN	P53367	ARFP1_HUMAN	ARFIP1	373	Homo sapiens	1:Experimental evidence at protein level	Arfaptin-1	1.0	0.999	16	241	205	241	57	34	46	57	47	48	28	39	48	42	57	34	46	57	47	2.1602152E10	1.4787066E10	2.4545217E10	3.19059E10	3.1799871E10	
sp|P53370|NUDT6_HUMAN	P53370	NUDT6_HUMAN	NUDT6	316	Homo sapiens	1:Experimental evidence at protein level	Nucleoside diphosphate-linked moiety X motif 6	1.0	0.999	7	26	26	26	5	4	5	6	6	5	4	5	6	6	5	4	5	6	6	3.634365E8	5.217698E8	3.64336E8	2.0987344E8	5.865456E8	
sp|P53384|NUBP1_HUMAN	P53384	NUBP1_HUMAN	NUBP1	320	Homo sapiens	1:Experimental evidence at protein level	Cytosolic Fe-S cluster assembly factor NUBP1	1.0	0.999	12	84	84	84	11	16	16	20	21	11	16	16	20	21	11	16	16	20	21	3.5883397E9	3.3563986E9	5.5850967E9	6.4181284E9	6.34565E9	
sp|P53396|ACLY_HUMAN	P53396	ACLY_HUMAN	ACLY	1101	Homo sapiens	1:Experimental evidence at protein level	ATP-citrate synthase	1.0	0.999	34	601	601	601	121	96	129	150	105	121	96	129	150	105	121	96	129	150	105	6.0706677E10	4.849588E10	5.421668E10	7.216018E10	5.8375725E10	
sp|P53539|FOSB_HUMAN	P53539	FOSB_HUMAN	FOSB	338	Homo sapiens	1:Experimental evidence at protein level	Protein FosB	0.9994	0.999	2	3	3	3	0	0	0	0	3	0	0	0	0	3	0	0	0	0	3	0.0	0.0	0.0	0.0	3.4292308E7	
sp|P53567|CEBPG_HUMAN	P53567	CEBPG_HUMAN	CEBPG	150	Homo sapiens	1:Experimental evidence at protein level	CCAAT/enhancer-binding protein gamma	0.9764	0.999	1	4	4	4	0	0	1	2	1	0	0	1	2	1	0	0	1	2	1	0.0	0.0	1.2997699E8	9.624654E7	9.366683E7	
sp|P53582|MAP11_HUMAN	P53582	MAP11_HUMAN	METAP1	386	Homo sapiens	1:Experimental evidence at protein level	Methionine aminopeptidase 1	1.0	0.999	11	151	151	151	30	21	34	31	35	30	21	34	31	35	30	21	34	31	35	9.058256E9	4.062629E9	8.952838E9	8.2392627E9	1.16819E10	
sp|P53597|SUCA_HUMAN	P53597	SUCA_HUMAN	SUCLG1	346	Homo sapiens	1:Experimental evidence at protein level	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	0.9998	0.9989	3	4	4	4	0	0	0	3	1	0	0	0	3	1	0	0	0	3	1	0.0	0.0	0.0	4.7581176E7	64761.582	
sp|P53602|MVD1_HUMAN	P53602	MVD1_HUMAN	MVD	400	Homo sapiens	1:Experimental evidence at protein level	Diphosphomevalonate decarboxylase	1.0	0.999	11	98	98	98	17	8	24	22	27	17	8	24	22	27	17	8	24	22	27	4.709542E9	1.631648E9	3.0919483E9	4.683382E9	4.023864E9	
sp|P53609|PGTB1_HUMAN	P53609	PGTB1_HUMAN	PGGT1B	377	Homo sapiens	1:Experimental evidence at protein level	Geranylgeranyl transferase type-1 subunit beta	1.0	0.999	8	45	45	45	8	8	10	9	10	8	8	10	9	10	8	8	10	9	10	1.3173449E9	1.03474144E9	1.8222067E9	1.6290798E9	1.1959341E9	
sp|P53611|PGTB2_HUMAN	P53611	PGTB2_HUMAN	RABGGTB	331	Homo sapiens	1:Experimental evidence at protein level	Geranylgeranyl transferase type-2 subunit beta	1.0	0.999	6	52	52	52	12	8	9	10	13	12	8	9	10	13	12	8	9	10	13	4.49122E9	2.8191342E9	3.5020692E9	3.2421128E9	5.124473E9	
sp|P53618|COPB_HUMAN	P53618	COPB_HUMAN	COPB1	953	Homo sapiens	1:Experimental evidence at protein level	Coatomer subunit beta	1.0	0.999	40	909	909	909	189	141	184	213	182	189	141	184	213	182	189	141	184	213	182	1.246992E11	1.1035075E11	1.1994347E11	1.1675353E11	1.7937303E11	
sp|P53621|COPA_HUMAN	P53621	COPA_HUMAN	COPA	1224	Homo sapiens	1:Experimental evidence at protein level	Coatomer subunit alpha	1.0	0.999	49	746	746	746	175	134	136	172	129	175	134	136	172	129	175	134	136	172	129	1.1892276E11	8.470434E10	1.0566808E11	1.5542995E11	1.6478E11	
sp|P53634|CATC_HUMAN	P53634	CATC_HUMAN	CTSC	463	Homo sapiens	1:Experimental evidence at protein level	Dipeptidyl peptidase 1	1.0	0.999	7	69	69	69	14	11	15	15	14	14	11	15	15	14	14	11	15	15	14	7.7334595E9	5.210426E9	5.381895E9	4.368191E9	7.016928E9	
sp|P53667|LIMK1_HUMAN	P53667	LIMK1_HUMAN	LIMK1	647	Homo sapiens	1:Experimental evidence at protein level	LIM domain kinase 1	1.0	0.999	12	43	43	43	15	7	9	7	5	15	7	9	7	5	15	7	9	7	5	1.1881724E9	4.0090246E8	6.0364243E8	6.825353E8	7.1686746E8	
sp|P53671|LIMK2_HUMAN	P53671	LIMK2_HUMAN	LIMK2	638	Homo sapiens	1:Experimental evidence at protein level	LIM domain kinase 2	1.0	0.999	8	44	44	44	8	6	10	12	8	8	6	10	12	8	8	6	10	12	8	8.303153E8	3.298436E8	3.6107824E8	2.2604355E8	5.426687E8	
sp|P53674|CRBB1_HUMAN	P53674	CRBB1_HUMAN	CRYBB1	252	Homo sapiens	1:Experimental evidence at protein level	Beta-crystallin B1	1.0	0.999	6	21	21	21	2	4	4	6	5	2	4	4	6	5	2	4	4	6	5	9.124643E7	1.5210456E8	2.1215688E8	2.2720915E8	3.664473E8	
sp|P53675|CLH2_HUMAN	P53675	CLH2_HUMAN	CLTCL1	1640	Homo sapiens	1:Experimental evidence at protein level	Clathrin heavy chain 2	1.0	0.999	14	21	21	386	1	2	6	9	3	1	2	6	9	3	82	67	81	95	61	8840642.0	1.4066832E7	5.7572588E7	1.4620379E8	2.2142812E7	
sp|P53677|AP3M2_HUMAN	P53677	AP3M2_HUMAN	AP3M2	418	Homo sapiens	1:Experimental evidence at protein level	AP-3 complex subunit mu-2	1.0	0.999	6	23	23	36	3	1	7	5	7	3	1	7	5	7	5	5	10	7	9	2.5726638E8	2.3818691E8	6.095659E8	4.7659734E8	8.8290835E8	
sp|P53680|AP2S1_HUMAN	P53680	AP2S1_HUMAN	AP2S1	142	Homo sapiens	1:Experimental evidence at protein level	AP-2 complex subunit sigma	1.0	0.999	5	59	59	59	12	9	10	12	16	12	9	10	12	16	12	9	10	12	16	4.1172285E9	3.0007892E9	3.3914752E9	5.4675564E9	7.039969E9	
sp|P53701|CCHL_HUMAN	P53701	CCHL_HUMAN	HCCS	268	Homo sapiens	1:Experimental evidence at protein level	Holocytochrome c-type synthase	1.0	0.999	9	90	90	90	22	16	16	20	16	22	16	16	20	16	22	16	16	20	16	3.1596436E9	2.1262213E9	2.6262316E9	5.3743273E9	5.1362284E9	
sp|P53708|ITA8_HUMAN	P53708	ITA8_HUMAN	ITGA8	1063	Homo sapiens	1:Experimental evidence at protein level	Integrin alpha-8	1.0	0.999	6	11	11	11	1	1	1	4	4	1	1	1	4	4	1	1	1	4	4	3.9873856E7	1.5238645E8	1.9648454E7	7.63357E7	1.7303104E8	
sp|P53778|MK12_HUMAN	P53778	MK12_HUMAN	MAPK12	367	Homo sapiens	1:Experimental evidence at protein level	Mitogen-activated protein kinase 12	1.0	0.999	9	26	26	40	7	6	3	4	6	7	6	3	4	6	9	7	6	9	9	3.0383792E8	2.338084E8	7.19487E7	1.9978096E8	2.964147E8	
sp|P53779|MK10_HUMAN	P53779	MK10_HUMAN	MAPK10	464	Homo sapiens	1:Experimental evidence at protein level	Mitogen-activated protein kinase 10	0.9947	0.999	5	3	3	18	0	0	1	1	1	0	0	1	1	1	3	3	3	5	4	0.0	0.0	1.7515718E7	2.7964738E7	5.1477596E7	
sp|P53794|SC5A3_HUMAN	P53794	SC5A3_HUMAN	SLC5A3	718	Homo sapiens	1:Experimental evidence at protein level	Sodium/myo-inositol cotransporter	1.0	0.999	3	10	10	10	2	1	2	3	2	2	1	2	3	2	2	1	2	3	2	1.3259E8	1.5258236E7	1.04118504E8	1.11141336E8	2.9779048E7	
sp|P53801|PTTG_HUMAN	P53801	PTTG_HUMAN	PTTG1IP	180	Homo sapiens	1:Experimental evidence at protein level	Pituitary tumor-transforming gene 1 protein-interacting protein	1.0	0.999	3	24	24	24	5	2	5	10	2	5	2	5	10	2	5	2	5	10	2	2.3108874E9	1.0765875E9	1.4920945E9	2.483486E9	2.8792148E9	
sp|P53803|RPAB4_HUMAN	P53803	RPAB4_HUMAN	POLR2K	58	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerases I, II, and III subunit RPABC4	1.0	0.999	3	19	19	19	6	5	4	1	3	6	5	4	1	3	6	5	4	1	3	1.5444741E9	3.980202E8	2389629.0	7194295.0	1.1182909E8	
sp|P53804|TTC3_HUMAN	P53804	TTC3_HUMAN	TTC3	2025	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase TTC3	1.0	0.999	32	82	82	82	12	10	19	22	19	12	10	19	22	19	12	10	19	22	19	4.51069E8	2.2451013E8	5.2156384E8	6.161205E8	5.1182134E8	
sp|P53805|RCAN1_HUMAN	P53805	RCAN1_HUMAN	RCAN1	252	Homo sapiens	1:Experimental evidence at protein level	Calcipressin-1	0.9764	0.999	1	2	2	2	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0.0	0.0	6.76648E7	5.8002916E7	0.0	
sp|P53814|SMTN_HUMAN	P53814	SMTN_HUMAN	SMTN	917	Homo sapiens	1:Experimental evidence at protein level	Smoothelin	1.0	0.999	16	71	71	71	15	9	14	20	13	15	9	14	20	13	15	9	14	20	13	1.5667825E9	8.5012154E8	1.169101E9	1.5038948E9	2.2119918E9	
sp|P53816|PLAT3_HUMAN	P53816	PLAT3_HUMAN	PLAAT3	162	Homo sapiens	1:Experimental evidence at protein level	Phospholipase A and acyltransferase 3	1.0	0.999	4	33	33	33	5	7	8	6	7	5	7	8	6	7	5	7	8	6	7	7.607336E8	6.776705E8	8.8299296E8	1.279723E9	1.5558993E9	
sp|P53985|MOT1_HUMAN	P53985	MOT1_HUMAN	SLC16A1	500	Homo sapiens	1:Experimental evidence at protein level	Monocarboxylate transporter 1	1.0	0.999	5	70	70	70	20	14	16	11	9	20	14	16	11	9	20	14	16	11	9	5.802641E9	5.6082263E9	3.3584494E9	4.3373604E9	5.2907356E9	
sp|P53990|IST1_HUMAN	P53990	IST1_HUMAN	IST1	364	Homo sapiens	1:Experimental evidence at protein level	IST1 homolog	1.0	0.999	7	101	101	101	17	16	15	33	20	17	16	15	33	20	17	16	15	33	20	8.599724E9	2.5279818E9	5.347721E9	3.6617966E10	1.399704E10	
sp|P53992|SC24C_HUMAN	P53992	SC24C_HUMAN	SEC24C	1094	Homo sapiens	1:Experimental evidence at protein level	Protein transport protein Sec24C	1.0	0.999	25	306	284	306	64	53	54	74	61	58	48	52	68	58	64	53	54	74	61	2.7732204E10	1.5436615E10	2.506399E10	3.3554555E10	3.906424E10	
sp|P53999|TCP4_HUMAN	P53999	TCP4_HUMAN	SUB1	127	Homo sapiens	1:Experimental evidence at protein level	Activated RNA polymerase II transcriptional coactivator p15	1.0	0.999	11	454	454	454	119	76	101	84	74	119	76	101	84	74	119	76	101	84	74	7.1157916E10	8.555577E10	9.951633E10	8.928687E10	5.164195E10	
sp|P54098|DPOG1_HUMAN	P54098	DPOG1_HUMAN	POLG	1239	Homo sapiens	1:Experimental evidence at protein level	DNA polymerase subunit gamma-1	1.0	0.999	20	107	107	107	22	17	20	22	26	22	17	20	22	26	22	17	20	22	26	2.9414088E9	1.4827231E9	6.6147323E9	1.9709723E9	5.6445614E9	
sp|P54105|ICLN_HUMAN	P54105	ICLN_HUMAN	CLNS1A	237	Homo sapiens	1:Experimental evidence at protein level	Methylosome subunit pICln	0.9984	0.999	2	20	20	20	6	4	4	4	2	6	4	4	4	2	6	4	4	4	2	2.773732E8	2.2784213E8	3.9102406E8	1.4120027E9	2.290312E9	
sp|P54108|CRIS3_HUMAN	P54108	CRIS3_HUMAN	CRISP3	245	Homo sapiens	1:Experimental evidence at protein level	Cysteine-rich secretory protein 3	0.9994	0.999	2	14	14	14	4	1	3	2	4	4	1	3	2	4	4	1	3	2	4	6.531635E8	2.771496E7	8.1778726E8	2.7747686E8	5.2852016E8	
sp|P54132|BLM_HUMAN	P54132	BLM_HUMAN	BLM	1417	Homo sapiens	1:Experimental evidence at protein level	RecQ-like DNA helicase BLM	1.0	0.999	16	35	35	37	7	5	7	5	11	7	5	7	5	11	7	5	7	7	11	4.8370928E8	3.111757E8	4.7707156E7	9.314488E7	2.4737414E8	
sp|P54136|SYRC_HUMAN	P54136	SYRC_HUMAN	RARS1	660	Homo sapiens	1:Experimental evidence at protein level	Arginine--tRNA ligase, cytoplasmic	1.0	0.999	29	488	488	488	107	76	88	101	116	107	76	88	101	116	107	76	88	101	116	5.8527674E10	3.9933465E10	3.9617597E10	5.0401178E10	8.179608E10	
sp|P54198|HIRA_HUMAN	P54198	HIRA_HUMAN	HIRA	1017	Homo sapiens	1:Experimental evidence at protein level	Protein HIRA	1.0	0.999	12	54	54	54	6	8	14	15	11	6	8	14	15	11	6	8	14	15	11	8.82512E8	6.700593E8	7.6156826E8	8.228352E8	9.512216E8	
sp|P54252|ATX3_HUMAN	P54252	ATX3_HUMAN	ATXN3	361	Homo sapiens	1:Experimental evidence at protein level	Ataxin-3	1.0	0.999	10	97	97	97	18	15	21	25	18	18	15	21	25	18	18	15	21	25	18	2.7857119E9	2.1478477E9	1.9911185E9	3.6256847E9	3.23649E9	
sp|P54253|ATX1_HUMAN	P54253	ATX1_HUMAN	ATXN1	815	Homo sapiens	1:Experimental evidence at protein level	Ataxin-1	1.0	0.999	6	30	30	30	6	6	7	6	5	6	6	7	6	5	6	6	7	6	5	5.693E8	5.2684234E8	6.0303277E8	9.034762E8	7.189293E8	
sp|P54259|ATN1_HUMAN	P54259	ATN1_HUMAN	ATN1	1190	Homo sapiens	1:Experimental evidence at protein level	Atrophin-1	1.0	0.999	6	24	24	25	7	3	6	4	4	7	3	6	4	4	7	3	6	4	5	9.463155E8	5.406607E8	3.6175037E8	6.028171E8	8.2579776E8	
sp|P54274|TERF1_HUMAN	P54274	TERF1_HUMAN	TERF1	439	Homo sapiens	1:Experimental evidence at protein level	Telomeric repeat-binding factor 1	1.0	0.999	4	24	24	24	7	2	8	4	3	7	2	8	4	3	7	2	8	4	3	6.004694E8	2.894166E8	3.2636403E8	4.7155043E8	2.7332102E8	
sp|P54277|PMS1_HUMAN	P54277	PMS1_HUMAN	PMS1	932	Homo sapiens	1:Experimental evidence at protein level	PMS1 protein homolog 1	1.0	0.999	19	70	70	70	12	13	14	14	17	12	13	14	14	17	12	13	14	14	17	8.552366E8	6.389299E8	4.7047168E8	9.0941965E8	1.02902656E9	
sp|P54278|PMS2_HUMAN	P54278	PMS2_HUMAN	PMS2	862	Homo sapiens	1:Experimental evidence at protein level	Mismatch repair endonuclease PMS2	1.0	0.999	20	85	64	85	16	15	17	19	18	13	12	13	14	12	16	15	17	19	18	1.6317989E9	1.0163197E9	6.9427264E8	1.1203561E9	1.5353417E9	
sp|P54284|CACB3_HUMAN	P54284	CACB3_HUMAN	CACNB3	484	Homo sapiens	1:Experimental evidence at protein level	Voltage-dependent L-type calcium channel subunit beta-3	1.0	0.999	6	23	15	23	5	3	4	4	7	4	1	3	3	4	5	3	4	4	7	2.845885E8	1.7285917E8	2.0938182E8	2.5552051E8	5.491076E8	
sp|P54289|CA2D1_HUMAN	P54289	CA2D1_HUMAN	CACNA2D1	1103	Homo sapiens	1:Experimental evidence at protein level	Voltage-dependent calcium channel subunit alpha-2/delta-1	1.0	0.999	27	186	165	186	39	31	40	35	41	33	27	37	32	36	39	31	40	35	41	6.2272205E9	4.518682E9	6.614357E9	6.322137E9	7.913342E9	
